method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
LPP,2048,16,base_dim_2048.pt,0.3862942486409046,0.46493098382654313,0.38236328295834404,0.45531041110773524,0.38236328295834404,0.45531041110773524,0.3472259153221727,0.41698932051545584,0.34196602298757567,0.41589896908953355,0.39040055153427305,0.4613536369152389,0.3352937997534848,0.40472376645554975,0.40230074236878,0.4666657304410067
LPP,2048,32,base_dim_2048.pt,0.3876157164476921,0.4626847140077065,0.38632025166218154,0.45567215289358903,0.38632025166218154,0.45567215289358903,0.35091802923148774,0.41726621326564656,0.3445510737542869,0.4217461387140672,0.3890411543196223,0.46019171363031725,0.33531550618903133,0.4091266322211473,0.3961622749701572,0.462377493873712
LPP,2048,64,base_dim_2048.pt,0.39119219577623476,0.46785480119074146,0.3881697819656909,0.46005626689777485,0.3881697819656909,0.46005626689777485,0.3536211565827052,0.42154401452038887,0.3530657621772687,0.4301707450165954,0.3997349623243286,0.4671943308179879,0.34745468281927605,0.42180429258879865,0.4142764202422875,0.4774702943087927
LPP,2048,128,base_dim_2048.pt,0.3956943700830242,0.46841936879659973,0.39098774349316207,0.4577136465618134,0.39098774349316207,0.4577136465618134,0.3559726453594765,0.4193373527659242,0.3548333496484745,0.43020578187201164,0.40262685577526947,0.4659325183757952,0.3493505600854687,0.42179314924663325,0.4181435484925293,0.4770112538026521
LPP,2048,256,base_dim_2048.pt,0.3896710654273495,0.4658318812731085,0.3875303814829348,0.4586843802661296,0.3875303814829348,0.4586843802661296,0.35298181700389,0.42026298401416484,0.35369972328440336,0.4302070703966593,0.4042427067312052,0.46970327086022934,0.3458190525421493,0.42021717651927964,0.41815851891972466,0.47992194195228743
LPP,2048,512,base_dim_2048.pt,0.3977349131660272,0.47176073490164094,0.39056099795907046,0.4609893152101324,0.39056099795907046,0.4609893152101324,0.360204454338017,0.42564662745297005,0.3559255961409008,0.4318630170083034,0.40828666211842746,0.4722177823448134,0.35042896272796864,0.4234484535266067,0.42410950023810295,0.48387122334998
LPP,2048,1024,base_dim_2048.pt,0.39480656031086164,0.46805757255784874,0.3875034607793711,0.45738870141828725,0.3875034607793711,0.45738870141828725,0.3575377260005517,0.4224881943022287,0.3536762595530233,0.42955934262488377,0.4079992779457397,0.4710668365373855,0.3457890218408657,0.4194887406191561,0.42235868186911635,0.48299286221834364
Random Projection,2048,2,base_dim_2048.pt,0.14115825345874364,0.15017264073754635,0.1341060363361832,0.14180067907969776,0.1341060363361832,0.14180067907969776,0.12193700231155169,0.12644882992374315,0.10404415141228388,0.11217150203129347,0.16160023955446756,0.1624913424408208,0.11013841010913995,0.11922100571816077,0.18709656325519267,0.18842269800383574
Random Projection,2048,4,base_dim_2048.pt,0.2223585133770626,0.26483518476466006,0.23793038752963247,0.28785986409061853,0.23793038752963247,0.28785986409061853,0.21526201760026706,0.2600125934796181,0.19870786789043282,0.24595122011513515,0.25860546636809534,0.306878455475179,0.20001336216156487,0.2446819970880908,0.27546673061668725,0.3214853994427049
Random Projection,2048,8,base_dim_2048.pt,0.2979851861236306,0.34863196191683854,0.290943999634303,0.34964069195608294,0.290943999634303,0.34964069195608294,0.2674415072731661,0.31751340132528927,0.2859862882426348,0.35259955526225706,0.34043567784519946,0.3999557674073002,0.28516518538013136,0.3519217521576202,0.35679585158135513,0.41730781828166746
